1	Mainly Alpha
3.90.76	Dipeptide-binding Protein; domain 1
3.90.78	Uridine Diphospho-n-acetylenolpyruvylglucosamine Reductase; domain 1
3.90.79	Nucleoside Triphosphate Pyrophosphohydrolase
3.90.80	Inorganic Pyrophosphatase
3.90.100	Ornithine Decarboxylase; Chain A, domain 4
3.90.105	Molybdopterin biosynthesis moea protein, domain 2
3.90.110	L-2-Hydroxyisocaproate Dehydrogenase; Chain A, domain 2
3.90.120	DNA Methylase; Chain A, domain 2
3.90.132	Leishmanolysin; domain 2
3.90.148	Adenovirus Single-stranded DNA-binding Protein; domain 2
3.90.150	Variant Surface Glycoprotein; Chain A domain 1
3.90.170	Adenylosuccinate Synthetase; Chain A, domain 3
3.90.175	Diphtheria Toxin; domain 1
3.90.176	Toxin ADP-ribosyltransferase; Chain A, domain 1
3.90.180	Quinone Oxidoreductase; Chain A, domain 1
3.90.182	Toxin - Anthrax Protective Antigen; domain 1
3.90.190	Protein-Tyrosine Phosphatase; Chain A
3.90.198	Replication Fork Single-Stranded DNA Binding Protein
3.90.199	Topoisomerase II; domain 5
3.90.209	Hemagglutinin (Ha1 Chain); Chain: A; domain 1
3.90.210	Heat-Labile Enterotoxin; Chain A
3.90.215	Gamma Fibrinogen; Chain A, domain 1
3.90.220	Adenine-n6-DNA-methyltransferase TaqI; Chain A, domain 2
3.90.226	2-enoyl-CoA Hydratase; Chain A, domain 1
3.90.228	Phosphoenolpyruvate Carboxykinase; domain 3
3.90.230	Creatine Amidinohydrolase
3.90.241	FokI Restriction Endonuclease; Chain A, domain 1
3.90.245	Inosine-uridine Nucleoside N-ribohydrolase; Chain A
3.90.249	Hexon Major Viral Coat Protein; domain 3
3.90.260	Coagulation Factor XIII; Chain A, domain 2
3.90.280	Phosphatidylethanolamine-binding Protein
3.90.290	Extracellular Matrix Fibrillin
3.90.310	Viral Glycoprotein Gp70
3.90.320	Lambda Exonuclease; Chain A
3.90.330	Nitrile Hydratase; Chain A
3.90.340	Nitric Oxide Synthase; Chain A, domain 1
3.90.350	Transposase Inhibitor Protein From Tn5; Chain A, domain 1
3.90.360	Histone Acetyltransferase; domain 1
3.90.370	Tissue inhibitor of metalloproteinase-1. Chain B, domain 1
3.90.380	Naphthalene 1,2-dioxygenase Alpha Subunit; Chain A, domain 1
3.90.390	Methyl-coenzyme M Reductase; Chain A, domain 1
3.90.400	Oligo-1,6-glucosidase; domain 2
3.90.420	Sulfite Oxidase; Chain A, domain 2
3.90.430	Activator Of Metallothionein 1; Chain A
3.90.440	Nitric Oxide Synthase;Heme Domain; Chain A, domain 2
3.90.450	Minor Coat Protein; domain 2
3.90.460	Ferredoxin Thioredoxin Reductase
3.90.470	Ribosomal Protein L22; Chain A
3.90.480	Sulfite Reductase Hemoprotein; domain 2
3.90.510	Cryptophytan Phycoerythrin (Alpha-1 Chain); Chain A
3.90.520	Smad3; Chain A
3.90.530	Nucleotide Excision Repair Protein XPA (XPA-MBD); B Chain A
3.90.540	Colicin E7 immunity protein; Chain B, fragment: Endonuclease domain
3.90.550	Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A
3.90.570	Sugar Binding Protein, Amyloid A4 Protein; Chain A
3.90.580	DNA Primase; Chain A
3.90.600	Glycinamide Ribonucleotide Synthetase; Chain A, domain 4
3.90.640	Actin; Chain A, domain 4
3.90.650	Phosphoribosyl-aminoimidazole Synthetase; Chain A, domain 2
3.90.660	Polyamine Oxidase; Chain A, domain 2
3.90.700	Flavocytochrome C3; Chain A, domain 1
3.90.730	Ribonuclease Rh; Chain A
3.90.740	Isoleucyl-tRNA Synthetase; domain 2
3.90.760	Flavocytochrome C Sulfide Dehydrogenase; Chain A Domain 3
3.90.770	3-hydroxy-3-methylglutaryl-coenzyme A Reductase; Chain A, domain 2
3.90.780	5'-nucleotidase;  domain 2
3.90.800	Glutamyl-tRNA Synthetase; domain 3
3.90.810	SerineThreonine-protein kinase PAK-alpha; Chain A
3.90.820	Rubredoxin-like
3.90.830	Syntaxin Binding Protein 1; Chain A, domain 2
3.90.840	HIV-1 Reverse Transcriptase; Chain A, domain 3
3.90.850	Fumarylacetoacetate hydrolase; domain 2
3.90.870	DHBP synthase
3.90.920	DNA primase, PRIM domain
3.90.930	Outer Surface Protein A; domain 3
3.90.940	Eukaryotic RPB6 RNA polymerase subunit
3.90.950	Maf protein
3.90.960	YbaK protein 
3.90.970	Glutamate mutase, C-terminal domain
3.90.980	DNA primase DNAg catalytic core, N-terminal domain
3.90.1000	Orphan Protein Tm0875; Chain: A; 
3.90.1010	Sufe protein. Chain: A
3.90.1020	Archaeosine Trna-guanine Transglycosylase; Chain: A, domain 2
3.90.1030	50s Ribosomal Protein L17; Chain: A, 
3.90.1070	Hypothetical Protein Ta0175; Chain: A, domain 2
3.90.1100	Rna Polymerase Beta Subunit; Chain: C,domain 2
3.90.1110	Dna-directed Rna Polymerase Ii 140kd Polypeptide; Chain: B; domain 3
3.90.1140	Cyclic Phosphodiesterase; Chain: A, 
3.90.1150	Aspartate Aminotransferase, domain 1
3.90.1160	Baseplate Structural Protein Gp11; Chain: A, domain 3
3.90.1170	Aldehyde Oxidoreductase; domain 3
3.90.1180	Ribosomal Protein L13p; Chain: A; 
3.90.1200	Aminoglycoside 3'-phosphotransferase; Chain: A, domain 2
3.90.1210	Type Iii Antifreeze Protein Isoform Hplc 12
3.90.1220	Endoglucanase; Chain: A
3.90.1230	Bovine Endothelial Nitric Oxide Synthase Heme Domain; Chain: A,domain 3
3.90.1240	Zincin-like
3.90.1260	Argininosuccinate synthetase, chain A, domain 2
3.90.1280	CBS domain Like
3.90.1290	beta-hairpin-alpha-hairpin repeat
3.90.1300	Amidase signature (AS) enzymes
3.90.1310	Penicillin-binding protein 2a (Domain 2)
3.90.1320	Outer-capsid protein sigma 3, large lobe
3.90.1330	Alpha-d-glucuronidase, C-terminal Domain
3.90.1340	heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 3
3.90.1350	Exotoxin A, middle domain
3.90.1360	Microbial transglutaminase. Chain: a
3.90.1370	Protein mu-1, chain B, domain 1
3.90.1380	threonine synthase, domain 1, chain A
3.90.1390	b-12 dependent (class ii) ribonucleotide reductase, chain A, domain 3
3.90.1400	Rotavirus NSP2 fragment, N-terminal domain
3.90.1410	set domain protein methyltransferase, domain 1
3.90.1420	set domain protein methyltransferase, domain 2
3.90.1430	Yeast translation eEF2 (G' domain)
3.90.1440	Pre-protein croslinking domain of SecA
3.90.1450	Proguanylin
3.90.1460	GTF2I-like repeat
3.90.1470	thrh gene product, domain 2
3.90.1480	sialyltransferase cstii, chain A
3.90.1490	putative n-type atp pyrophosphatase, domain 2
3.90.1510	Glycerate kinase, domain 2
3.90.1520	H-NOX domain
3.90.1530	Conserved hypothetical protein from pyrococcus furiosus pfu- 392566-001, ParB domain
3.90.1560	putative 2-phosphosulfolactate phosphatase
3.90.1570	tt1808, chain A
3.90.1580	paralog of FGE (formylglycine-generating enzyme)
3.90.1590	glutathione-dependent formaldehyde- activating enzyme (gfa)
3.90.1600	Palm domain of DNA polymerase
3.90.1620	adenovirus 2 penton base, domain 2
3.90.1630	Outer-capsid protein sigma 3, small lobe
3.90.1640	inorganic pyrophosphatase (n-terminal core)
3.90.1650	PA1123-like 
3.90.1660	CofE-like fold
3.90.1670	FdhE-like fold
3.90.1680	hypothetical protein yedk fold
3.90.1690	phage-related protein like fold
3.90.1700	v583 fold
3.90.1710	Enterococcus faecalis V583 fold
3.90.1720	endopeptidase fold (from Nostoc punctiforme)
3.90.1730	Infectious bursal virus vp1 polymerase fold
3.90.1740	2',3'-cyclic nucleotide 3'-phosphodiesterase fold
3.90.1750	Hect, E3 ligase catalytic domain fold
3.90.1760	Adenylylcyclase toxin fold
3.90.1770	PreATP-grasp fold
3.90.1780	Trimeric adhesin
3.90.1800	DCoH-like
3.90.1810	Reovirus components fold
3.90.1820	LDH C-terminal domain-like 
3.100.10	Ribosomal Protein L15; Chain: K; domain 2
4.10.6	Fusion Protein Of Alpha-na,k-atpase With Glutathione S-transferase; domain 3
4.10.8	Luciferase; domain 5
4.10.10	Metallothionein Isoform II
4.10.20	HIV-1 Transactivator Protein
4.10.40	Omega-AgatoxinV
4.10.49	Cytochrome C Oxidase; Chain L
4.10.51	Cytochrome C Oxidase; Chain K
4.10.60	HIV-1 Nucleocapsid Protein
4.10.70	Echistatin
4.10.75	R-elafin
4.10.80	Rhinovirus 14, subunit 4
4.10.81	Cytochrome C Oxidase; Chain M
4.10.87	mRNA Capping Enzyme; Chain
4.10.90	Foot-And-Mouth Disease Virus, subunit 4
4.10.91	Cytochrome C Oxidase; Chain J
4.10.92	Aminolevulinic Acid Synthase 2
4.10.93	Cytochrome C Oxidase; Chain I
4.10.95	Cytochrome C Oxidase; Chain G
4.10.110	Spasmolytic Protein; domain 1
4.10.140	Epsilon-Thrombin; Chain L
4.10.160	Methanol Dehydrogenase; Chain B
4.10.170	p53, subunit A
4.10.180	Black beetle virus capsid protein
4.10.210	Transactivator Protein (TAT, TAT EIAVY)
4.10.220	Light-harvesting Protein
4.10.230	Amyloid A4
4.10.240	CD2-Gal4
4.10.260	G Protein Gi Gamma 2
4.10.270	Myosin, subunit A
4.10.280	MYOD Basic-Helix-Loop-Helix Domain, subunit B
4.10.290	Bacteriorhodopsin Fragment
4.10.320	Dihydrolipoamide Transferase
4.10.340	Interleukin-10; domain 2
4.10.365	p27
4.10.372	Lipoxygenase-1; domain 3
4.10.375	Lipoxygenase-1; domain 2
4.10.400	Low-density Lipoprotein Receptor
4.10.410	Factor Xa Inhibitor
4.10.420	Smk Toxin, alpha chain
4.10.430	H-NS DNA Binding Protein
4.10.450	Glucose Oxidase; domain 2
4.10.460	Inositol Polyphosphate 1-phosphatase; domain 1
4.10.470	Ricin (A Subunit), domain 2
4.10.480	Cytochrome-c3 Hydrogenase; Chain A, domain 2
4.10.490	High-Potential Iron-Sulfur Protein; Chain A
4.10.510	Pyruvoyl-Dependent Histidine Decarboxylas; Chain A
4.10.520	HU Protein; Chain A
4.10.530	Gamma-fibrinogen Carboxyl Terminal Fragment; domain 2
4.10.540	Photosynthetic Reaction Center; Chain H, domain 1
4.10.640	30s Ribosomal Protein S18
4.10.650	Ag-metallothionein
4.10.670	Cholecystokinin Type A Receptor; Chain A
4.10.680	Activated P21cdc42hs Kinase; Chain B
4.10.690	Cricket Paralysis Virus, Vp4; Chain D
4.10.710	Hepatitis C Virus Capsid Protein; Chain A
4.10.720	Smad Anchor For Receptor Activation; Chain B
4.10.740	Coagulation Factor IX
4.10.760	Agouti Related Protein; Chain A
4.10.770	Signal Protein Aml-1b; Chain A, domain 3
4.10.780	Pyruvate-ferredoxin Oxidoreductase; domain 4
4.10.790	Pyruvate-ferredoxin Oxidoreductase; domain 7
4.10.800	Invariant Chain; Chain I
4.10.810	Virus Scaffolding Protein; Chain A
4.10.820	Translocated Intimin Receptor; Chain T
4.10.830	30s Ribosomal Protein S14; Chain N
4.10.840	Ion Transport, Rhodopsin; Chain A
4.10.860	DNA Excision Repair, Uvrb; Chain A
4.10.870	Endo-1,4-beta-glucanase f; domain 3
4.10.880	Poliovirus 3D polymerase; domain 1 (Nucleotidyltransferase)
4.10.890	HIV 1 nef anchor domain
4.10.900	TCF3-CBD (Catenin binding domain)
4.10.910	30s ribosomal protein s13; domain 2
4.10.940	Quinohemoprotein amine dehydrogenase
4.10.950	Ribosomal protein L2; domain 3
4.10.960	Ribosomal protein L3; domain 3
4.10.970	Ku70, bridge and pillars
4.10.990	Molecule: Ribosomal Protein L15; Chain: K; domain 1
4.10.1000	CCCH zinc finger
4.10.1010	Apical membrane antigen 1
4.10.1030	Ring Box Chain A; domain 5
4.10.1040	cysteine-rich DNA binding domain (DM domain)
4.10.1050	At2g23090
4.10.1060	ZNF265 like
4.10.1070	receptor-binding domain of the bacteriophage t4 short tail fibre, domain 2
4.10.1080	TSP type-3 repeat
4.10.1090	Endosialidase, domain 4
4.10.1100	DNA-binding domain of squamosa promoter binding protein-like 12 (lacking the second zinc- binding site)
4.10.1110	Zf-an1 domain
4.10.1120	Intrinsically disordered gamma-subunit of cGMP phosphodiesterase
4.10.1130	btk motif of tyrosine-protein kinase itk
4.10.1140	membrane-bound form of the juxtamembrane domain of the epidermal growth factor receptor like fold
4.10.1150	AF2212/PG0164-like
4.10.1170	Protein kinase-like (PK-like)
4.10.1180	tm1086 fold
4.10.1190	Chlorophyll A-B binding protein fold
4.10.1200	nitrate reductase tail
4.10.1210	Atu1913-like
4.10.1220	Knottins (small inhibitors, toxins, lectins) 
4.10.1230	Ecotin, trypsin inhibitor
4.10.1240	Hormone receptor fold
4.10.1250	Aminomethyltransferase fragment
4.10.1260	Scaffolding protein gpD of bacteriophage procapsid fold
4.10.1270	homoprotocatechuate 2,3-dioxygenase fold
4.10.1280	Metalloproteases ("zincins"), catalytic domain fold
4.10.1290	Tumor necrosis factor receptor fold
4.10.1300	Luminescent protein fold
4.10.1310	Dinoflagellate luciferase repeat 
4.10.1330	non globular Virulence effector SptP fold
1.10.8.10	DNA helicase RuvA subunit, C-terminal domain
1.10.8.20	N-terminal domain of phosphatidylinositol transfer protein sec14p
1.10.8.40	Albumin-binding domain
1.10.8.50	
1.10.8.60	
1.10.8.70	
1.10.8.80	
1.10.8.100	
1.10.8.110	
1.10.8.130	
1.10.8.140	DNA Binding Protein, Hypothetical Protein Mth1615; Chain A
1.10.8.160	DNA primase S; domain 2
1.10.8.190	Carbon monoxide dehydrogenase alpha subunit. Chain M, domain 1
1.10.8.200	Replisome organizer (g39p helicase loader/inhibitor protein)
1.10.8.210	multifunctional methyltransferase/dehydrogenase/ferrochelatase, domain 3
1.10.8.240	CofD-like domain
1.10.8.250	DNA polymerase III clamp loader domain like
1.10.8.260	HI0933 insert domain-like
1.10.8.270	putative rabgap domain of human tbc1 domain family member 14 like domains
1.10.8.280	ABC transporter ATPase domain-like
1.10.8.290	uncharacterized protein sp1917 domain
1.10.8.300	putative atpase (yp_676785.1)
1.10.8.330	PG0816-like
1.10.8.340	PG0816-like
1.10.8.350	Bacterial muramidase
1.10.8.360	3,6-anhydro-alpha-l-galactosidase
1.10.10.10	"winged helix" repressor DNA binding domain
1.10.10.41	Yeast DNA topoisomerase - domain 1
1.10.10.60	Homeodomain-like
1.10.10.140	Cytochrome C oxidase subunit h
1.10.10.160	
1.10.10.180	
1.10.10.190	
1.10.10.200	
1.10.10.250	
1.10.10.350	
1.10.10.370	
1.10.10.390	
1.10.10.400	
1.10.10.410	
1.10.10.430	Phosphatase 2C; domain 2
1.10.10.440	
1.10.10.450	
1.10.10.460	Ribonuclease hii. Domain 2
1.10.10.470	Maltooligosyl trehalose synthase; domain 4
1.10.10.480	Phosphofructokinase; domain 3
1.10.10.490	beta-catenin-interacting protein ICAT, Chain B, ?????domain1
1.10.10.500	Homeodomain-like (homeo-prospero domain)
1.10.10.510	Large t antigen; domain 1
1.10.10.520	Ubiquitin activating enzymes (Uba3). Chain: B, domain 2
1.10.10.530	mam-mhc complex, Chain D, Domain 2
1.10.10.540	XPC-binding domain
1.10.10.570	"Winged helix" DNA-binding domain. Chain C. Domain 1
1.10.10.580	Structural maintenance of chromosome 1. Chain E
1.10.10.600	Hypothetical protein yfhj
1.10.10.610	YehU-like
1.10.10.620	ribosome modulation factor like domain
1.10.10.630	DnaD domain-like
1.10.10.640	phospholipid-binding protein
1.10.10.650	RuvA domain 2-like 
1.10.10.660	conserved protein of unknown function from Enterococcus faecalis V583
1.10.10.670	photosystem ii from thermosynechococcus elongatus 
1.10.10.680	Hypothetical protein VC1899 (Restriction endonuclease-like)
1.10.10.690	YidB-like
1.10.10.710	PSPTO_1197 like
1.10.10.720	leucyl-tRNA synthetase
1.10.10.730	KorB DNA-binding domain
1.10.10.740	Crisp domain
1.10.10.750	Ypt/Rab-GAP domain of gyp1p 
1.10.10.760	E-set domains of sugar-utilizing enzymes 
1.10.12.10	Lyase 2-enoyl-coa Hydratase, Chain  A, domain 2
1.10.15.30	
1.10.20.10	Histone, subunit A
1.10.30.10	DNA Binding (I), subunit A
1.10.40.30	Fumarase/aspartase (C-terminal domain)
1.10.40.40	Deoxyribonucleotidase; domain 2
1.10.40.50	Probable gtpase engc; domain 3
1.10.40.60	EpsJ-like
1.10.45.10	Vanillyl-alcohol Oxidase; Chain A, domain 4
1.10.60.10	Iron-dependent repressor protein, dimerization domain
1.10.60.20	Rps17e-like
1.10.60.30	PSPTO4464-like domains
1.10.100.10	Insulin-like, subunit E
1.10.101.10	Muramoyl-pentapeptide Carboxypeptidase, domain 1
1.10.110.10	Plant lipid-transfer and hydrophobic proteins
1.10.132.10	
1.10.132.20	
1.10.135.10	Transferase Creatine Kinase, Chain A, domain 1
1.10.140.10	MET Apo-Repressor, subunit A
1.10.150.20	5' to 3' exonuclease, C-terminal subdomain
1.10.150.40	Barrier-to-autointegration factor, BAF
1.10.150.50	Transcription Factor, Ets-1
1.10.150.60	
1.10.150.80	
1.10.150.90	
1.10.150.110	DNA polymerase beta, N-terminal domain-like
1.10.150.120	
1.10.150.130	
1.10.150.160	
1.10.150.170	Putative methyltransferase TM0872, insert domain
1.10.150.180	Retroviral matrix proteins
1.10.150.190	Translation initiation factor 2; subunit 1; domain 2
1.10.150.200	Maltooligosyl trehalose synthase; domain 3
1.10.150.210	Phosphoserine phosphatase; domain 2
1.10.150.220	Myosin phosphatase inhibitor 17kDa protein, CPI-17
1.10.150.240	Putative phosphatase; domain 2
1.10.150.250	Ygfy
1.10.150.260	YozE-like
1.10.150.280	AF1531-like domain
1.10.150.290	S-adenosyl-L-methionine-dependent methyltransferases 
1.10.150.300	TGS-like domain
1.10.150.310	Tex RuvX-like domain-like
1.10.150.320	Photosystem II 12 kDa extrinsic protein
1.10.150.330	zn-dependent alcohol dehydrogenase
1.10.155.10	Chemotaxis receptor methyltransferase CheR, N-terminal domain
1.10.166.10	Tetrahydrodipicolinate-N-succinyltransferase, chain A, domain 1
1.10.167.10	Regulator of G-protein Signalling 4, domain 2
1.10.168.10	Phosducin, domain 2
1.10.170.10	Bluetongue Virus 10, subunit 1, domain 3
1.10.185.10	Human T-cell Leukemia Virus Type Ii Matrix Protein
1.10.189.10	Pyruvate Phosphate Dikinase, domain 2
1.10.195.10	HIV-1 VPU cytoplasmic domain
1.10.196.10	
1.10.196.20	
1.10.210.10	Uteroglobin
1.10.220.10	
1.10.220.20	
1.10.220.30	
1.10.220.50	
1.10.220.60	GRIP domain
1.10.220.70	lyase
1.10.220.80	BH2638-like
1.10.220.90	Mistic
1.10.220.100	conserved c-terminal region of ge- 1
1.10.225.10	Saposin
1.10.230.10	Cytochrome P450-Terp, domain 2
1.10.238.10	EF-hand
1.10.238.20	
1.10.238.70	
1.10.238.80	Hypothetical protein MTH865
1.10.238.90	
1.10.238.100	YAP1 redox domain. Chain B
1.10.238.110	Diacylglycerol kinase alpha.
1.10.238.120	Jann4075-like
1.10.239.10	Fungal elicitin
1.10.240.10	Tyrosyl-Transfer RNA Synthetase
1.10.245.10	MDM2
1.10.246.10	
1.10.246.20	
1.10.246.30	
1.10.246.40	Tn5 transposase; domain 1
1.10.246.60	Eukaryotic translation initiation factor 3 like domains
1.10.250.10	Bluetongue Virus 10, subunit 1, domain 1
1.10.260.30	
1.10.260.40	lambda repressor-like DNA-binding domains
1.10.268.10	Topoisomerase, domain 3
1.10.269.10	Adenovirus Single-stranded Dna-binding Protein, domain 1
1.10.274.10	Enzyme I of the PEP:sugar phosphotransferase system HPr-binding (sub)domain
1.10.274.20	Phenylalanine ammonia-lyase 1; domain 3
1.10.275.10	Fumarase/aspartase (N-terminal domain)
1.10.285.10	Glutamate Dehydrogenase, chain A, domain 3
1.10.286.10	
1.10.286.20	
1.10.286.30	
1.10.286.40	Chlorophyll a-b binding protein like
1.10.287.10	
1.10.287.20	
1.10.287.30	
1.10.287.40	
1.10.287.70	
1.10.287.80	
1.10.287.90	
1.10.287.100	
1.10.287.110	
1.10.287.120	Neurotoxin B-IV
1.10.287.130	
1.10.287.140	
1.10.287.150	
1.10.287.160	HR1 repeat
1.10.287.170	
1.10.287.180	
1.10.287.190	
1.10.287.210	
1.10.287.230	
1.10.287.260	
1.10.287.280	
1.10.287.310	
1.10.287.320	
1.10.287.340	
1.10.287.370	
1.10.287.380	
1.10.287.390	
1.10.287.400	
1.10.287.410	
1.10.287.420	
1.10.287.440	
1.10.287.450	Helix hairpin bin
1.10.287.460	Helix hairpin bin
1.10.287.470	Helix hairpin bin
1.10.287.480	helix hairpin bin
1.10.287.490	Helix hairpin bin
1.10.287.500	Helix hairpin bin
1.10.287.510	Helix hairpin bin
1.10.287.520	Helix hairpin bin
1.10.287.540	Helix hairpin bin
1.10.287.550	Helix hairpin bin
1.10.287.560	Helical hairpin bin
1.10.287.570	Helical hairpin bin
1.10.287.580	Helix hairpin bin
1.10.287.600	Helix hairpin bin
1.10.287.610	Helix hairpin bin
1.10.287.620	Helix Hairpins
1.10.287.630	Helix hairpin bin
1.10.287.650	Helix hairpin bin
1.10.287.660	Helix hairpin bin
1.10.287.670	NblA-like
1.10.287.680	Helix hairpin bin
1.10.287.690	Helix hairpin bin
1.10.287.700	Helix hairpin bin
1.10.287.710	Helix hairpin bin
1.10.287.720	Pollen allergen ole e 6
1.10.287.730	Helix hairpin bin
1.10.287.740	Helix hairpin bin
1.10.287.750	SO2669-like
1.10.287.760	YqgQ-like
1.10.287.770	YojJ-like
1.10.287.780	ITPase-like domains
1.10.287.790	luxt domain from vibrio parahaemolyticus
1.10.287.800	protein ne1242 
1.10.287.810	Mitochondrial import inner membrane translocase subunit tim13 like domains
1.10.287.820	Acid-sensing ion channel domain
1.10.287.830	putative peptidase helix hairpin domain like
1.10.287.840	Mycolic acid cyclopropane synthase domain like
1.10.287.850	HP0062-like
1.10.287.860	Nucleotidyltransferase
1.10.287.870	Acyl-CoA N-acyltransferases (Nat) 
1.10.287.880	Hypothetical protein YfhH domain
1.10.287.890	Crystal structure of tRNA isopentenylpyrophosphate transferase (bh2366) domain
1.10.287.900	The crystal structure of the spermine/spermidine acetyltransferase from enterococcus faecali
1.10.287.910	bacterial mercury transporter, merf
1.10.287.920	Pheromone alpha factor receptor.
1.10.287.930	Mammalian shaker kv1.2 potassium channel- beta subunit complex
1.10.287.940	atp-gated p2x4 ion channel 
1.10.287.950	Methyl-accepting chemotaxis protein
1.10.287.970	His Kinase A (phosphoacceptor) domain
1.10.287.980	plastocyanin oxidoreductase
1.10.287.990	Fe,Mn superoxide dismutase (SOD) domain
1.10.287.1010	Clavaminate synthase-like 
1.10.287.1020	NE0241-like 
1.10.287.1030	Nudix-associated domain 
1.10.287.1040	XseB-like
1.10.287.1050	H-NS histone-like proteins
1.10.287.1060	ESAT-6 like
1.10.287.1070	Nuclear receptor coactivator interlocking domain 
1.10.287.1080	MazG-like 
1.10.287.1090	Dimerisation domain of CENP-B
1.10.287.1100	Sporulation inhibitor
1.10.287.1110	Tubulin, GTPase
1.10.287.1120	Bipartite methylase S protein
1.10.287.1130	CytochromE C oxidase copper chaperone
1.10.287.1140	EspA/CesA-like
1.10.287.1150	TPP helical domain
1.10.287.1160	flagellar sigma/anti-sigma complex
1.10.287.1170	glycoside hydrolase family 81 endo-[beta] glucanase 
1.10.288.10	Cobalamin-dependent Methionine Synthase, domain 2
1.10.290.10	Topoisomerase I, domain 4
1.10.300.10	Adenylosuccinate Synthetase, subunit A, domain 2
1.10.340.20	Hypothetical protein - apc36109-like domain
1.10.340.30	Hypothetical protein; domain 2
1.10.357.10	Tetracycline Repressor, domain 2
1.10.357.20	Magnesium transporter mgtE
1.10.375.10	Human Immunodeficiency Virus Type 1 Capsid Protein
1.10.390.10	Neutral Protease Domain 2
1.10.400.10	GI Alpha 1, domain 2-like
1.10.400.20	putative tagatose 6-phosphate kinase domain like
1.10.405.10	Guanine Nucleotide Dissociation Inhibitor, domain 1
1.10.418.10	Actin-binding Protein, T-fimbrin; domain 1
1.10.420.10	Peroxidase, domain 2
1.10.437.10	Apoptosis Regulator Bcl-x
1.10.439.10	Penicillin Amidohydrolase, domain 1
1.10.440.10	T4 endonuclease V
1.10.441.10	Phosphomannose Isomerase, domain 2
1.10.442.10	Cytochrome C Oxidase, chain D
1.10.443.10	Intergrase catalytic core
1.10.455.10	Ribosomal Protein S7;
1.10.460.10	Topoisomerase I, domain 2
1.10.468.10	Photosynthetic Reaction Center, subunit C, domain 2
1.10.470.10	Variant Surface Glycoprotein, subunit A, domain 2
1.10.472.10	
1.10.472.20	
1.10.472.30	Elongation factor TFIIS domain 2
1.10.472.40	Hypothetical protein mg237 homolog; domain 3
1.10.472.50	HD-domain/PDEase-like
1.10.472.60	putative protein disulfide isomerase domain
1.10.486.10	PCRA; domain 4
1.10.489.10	Chloroperoxidase
1.10.490.10	Globins
1.10.490.20	Phycocyanins
1.10.490.30	Colicin
1.10.490.40	Diphtheria toxin, middle domain
1.10.490.50	Antibiotic binding domain of TipA-like multidrug resistance regulators
1.10.506.10	GTPase Activation - p120gap; domain 1
1.10.510.10	Transferase(Phosphotransferase) domain 1
1.10.520.10	
1.10.520.20	N-terminal domain of the delta subunit of the F1F0-ATP synthase
1.10.520.30	AF1862-like
1.10.530.10	
1.10.530.40	
1.10.532.10	Transcription Factor, Stat-4;
1.10.533.10	Death Domain, Fas
1.10.540.10	Butyryl-Coa Dehydrogenase, subunit A, domain 1
1.10.555.10	GTPase -GAP domain
1.10.560.10	GROEL, domain 1
1.10.565.10	Retinoid X Receptor
1.10.569.10	Aldehyde Ferredoxin Oxidoreductase Protein, subunit A, domain 2
1.10.575.10	P1 Nuclease
1.10.579.10	DNA Cyclobutane Dipyrimidine Photolyase, subunit A, domain 3
1.10.580.10	Citrate Synthase, domain 1
1.10.590.10	Chorismate Mutase, subunit A
1.10.599.10	Aldehyde Ferredoxin Oxidoreductase Protein, subunit A, domain 3
1.10.600.10	Farnesyl Diphosphate Synthase
1.10.601.10	RNA Polymerase Primary Sigma Factor
1.10.606.10	Vanadium-containing Chloroperoxidase, domain 2
1.10.620.20	Ribonucleotide Reductase, subunit A
1.10.630.10	Cytochrome p450
1.10.640.10	Myeloperoxidase, subunit C
1.10.645.10	Cytochrome-c3 Hydrogenase, chain B
1.10.700.10	LigA subunit of an aromatic-ring-opening dioxygenase LigAB
1.10.720.10	
1.10.720.30	
1.10.720.40	
1.10.720.50	PWWP, helical domain
1.10.730.10	Isoleucyl-tRNA Synthetase; Domain 1
1.10.740.10	Transferase Inhibitor Protein From Tn5; Chain
1.10.750.10	Elongin C, Chain C domain 1
1.10.760.10	Cytochrome c
1.10.780.10	Hydroxylamine Oxidoreductase; Chain A, domain 1
1.10.790.10	Major Prion Protein
1.10.800.10	Phenylalanine Hydroxylase
1.10.820.10	RNA Helicase Chain A , domain 3
1.10.840.10	Son of sevenless (Sos) protein Chain
1.10.860.10	DNAb Helicase; Chain A
1.10.870.10	Class II MHC-associated invariant chain ectoplasmic trimerization domain
1.10.880.10	A DNA-binding domain in eukaryotic transcription factors
1.10.890.10	Protein HNS-dependent expression A; HdeA
1.10.890.20	
1.10.930.10	Syk Kinase; Chain A, domain 2
1.10.940.10	N-utilizing Substance Protein B Homolog; Chain A
1.10.950.10	Villin Headpiece Domain; Chain A
1.10.1000.11	Arf Nucleotide-binding Site Opener,domain 2
1.10.1020.10	Adenine-specific Methyltransferase, Domain 2
1.10.1030.10	Carbamoyl Phosphate Synthetase; Chain A, domain 4
1.10.1040.10	N-(1-d-carboxylethyl)-l-norvaline Dehydrogenase; domain 2
1.10.1040.20	ProC C-terminal domain-like 
1.10.1050.10	Ribosomal Protein S4 Delta 41; Chain A, domain 1
1.10.1060.10	Fumarate Reductase Iron-sulfur Protein; Chain B, domain 2
